CPU Name,Performance
AMD EPYC 9654,"126,045"
AMD EPYC 9554P,"109,858"
AMD EPYC 9474F,"104,895"
Intel Xeon w9-3495X,"98,285"
AMD Ryzen Threadripper PRO 5995WX,"98,225"
AMD EPYC 9454P,"96,088"
AMD EPYC 9654P,"94,295"
AMD EPYC 7773X,"91,209"
Intel Xeon Platinum 8470 @2.00GHz,"89,850"
AMD EPYC 9534,"88,716"
AMD EPYC 7763,"86,194"
AMD EPYC 7J13,"85,683"
AMD EPYC 7713,"84,208"
AMD EPYC 7713P,"83,439"
AMD Ryzen Threadripper PRO 3995WX,"83,349"
AMD EPYC 7V13,"82,878"
AMD Ryzen Threadripper 3990X,"80,952"
AMD EPYC 9354P,"78,983"
AMD EPYC 7B13,"77,460"
AMD EPYC 7643,"76,455"
AMD Ryzen Threadripper PRO 5975WX,"75,757"
AMD EPYC 9334,"75,347"
Intel Xeon Platinum 8461V,"74,982"
AMD EPYC 7T83,"74,892"
AMD EPYC 9274F,"73,784"
AMD EPYC 7662,"73,321"
AMD EPYC 7573X,"70,868"
AMD EPYC 7702,"70,506"
AMD EPYC 9254,"70,006"
AMD EPYC 7H12,"69,633"
Intel Xeon w7-3465X,"69,628"
AMD EPYC 75F3,"68,505"
AMD EPYC 7742,"67,625"
Intel Xeon w9-3475X,"67,325"
AMD Ryzen Threadripper PRO 5965WX,"66,613"
AMD EPYC 7543P,"66,608"
AMD EPYC 7R32,"64,727"
AMD Ryzen 9 7950X,"63,358"
AMD Ryzen Threadripper 3970X,"63,268"
AMD Ryzen Threadripper PRO 3975WX,"62,838"
AMD EPYC 7702P,"62,670"
AMD Ryzen 9 7950X3D,"62,645"
Intel Xeon Platinum 8380 @ 2.30GHz,"62,318"
Intel Xeon w7-2495X,"62,082"
Intel Core i9-13900KS,"61,958"
AMD EPYC 74F3,"60,577"
Intel Xeon Gold 6421N,"60,551"
AMD EPYC 7642,"60,047"
AMD EPYC 7513,"59,988"
Intel Core i9-13900K,"59,745"
Intel Core i9-14900KF,"59,384"
AMD EPYC 7473X,"59,280"
Intel Xeon W-3375 @ 2.50GHz,"59,069"
Intel Xeon W-3365 @ 2.70GHz,"59,038"
Intel Core i9-13900KF,"58,984"
AMD EPYC 7443P,"57,642"
Intel Xeon Gold 5420+,"57,593"
Intel Xeon Gold 6448Y,"57,472"
Intel Xeon Gold 6414U,"57,200"
AMD EPYC 7542,"56,728"
AMD Ryzen 9 7945HX,"56,702"
AMD EPYC 7543,"56,562"
Intel Xeon Platinum 8375C @ 2.90GHz,"55,705"
AMD EPYC 9174F,"55,485"
Intel Xeon w7-2475X,"55,163"
AMD Ryzen Threadripper 3960X,"54,877"
AMD EPYC 7443,"54,870"
Intel Xeon Platinum 8358 @ 2.60GHz,"54,416"
AMD EPYC 7532,"53,139"
Intel Xeon Gold 6438N,"52,789"
Intel Core i9-13900F,"52,659"
Intel Xeon Gold 6348 @ 2.60GHz,"52,276"
AMD Ryzen 9 7900X,"52,209"
AMD EPYC 7552,"51,104"
AMD Ryzen 9 7900X3D,"50,693"
AMD EPYC 7453,"50,575"
AMD EPYC 7413,"50,223"
AMD EPYC 7502P,"49,887"
AMD Ryzen Threadripper PRO 5955WX,"49,832"
Intel Core i9-13900,"49,688"
AMD Ryzen 9 PRO 7945,"49,660"
Intel Xeon Platinum 8347C @ 2.10GHz,"49,386"
AMD Ryzen 9 7900,"49,354"
AMD EPYC 7K62,"49,104"
AMD EPYC 7R12,"48,934"
Apple M2 Ultra 24 Core,"48,572"
Intel Xeon w5-2465X,"48,364"
Intel Core i9-13980HX,"48,284"
Intel Xeon W-3345 @ 3.00GHz,"48,261"
AMD EPYC 7452,"48,227"
Intel Xeon Gold 6314U @ 2.30GHz,"48,013"
AMD EPYC 7402,"47,648"
Intel Xeon Gold 6342 @ 2.80GHz,"47,320"
Intel Core i7-13700K,"46,836"
AMD Ryzen 9 7845HX,"46,830"
Intel Xeon w5-3435X,"46,714"
Intel Xeon Gold 6338N @ 2.20GHz,"46,583"
Intel Core i7-13700KF,"46,568"
ARM Neoverse-N1 128 Core 3000 MHz,"46,470"
AMD EPYC 73F3,"46,085"
Intel Core i7-13790F,"46,065"
AMD Ryzen 9 5950X,"45,848"
AMD EPYC 7502,"45,839"
Intel Xeon Gold 6336Y @ 2.40GHz,"45,517"
Intel Core i9-13950HX,"45,312"
Intel Core i9-13900HX,"45,011"
Intel Core i9-12900KS,"44,293"
Intel Core i9-13900T,"44,265"
AMD EPYC 7343,"44,189"
Intel Core i9-13900E,"43,936"
Intel Xeon Gold 6312U @ 2.40GHz,"43,710"
AMD EPYC 9124,"43,453"
Intel Xeon w7-3445,"43,341"
ARM Neoverse-N1 128 Core 2800 MHz,"43,111"
Intel Xeon Gold 6330 @ 2.00GHz,"43,056"
AMD EPYC 7402P,"42,899"
AMD EPYC 7D12,"42,734"
AMD EPYC 7601,"42,244"
AMD EPYC 7313P,"42,032"
Intel Xeon W-3275 @ 2.50GHz,"41,554"
Intel Core i9-12900K,"41,457"
Intel Xeon Gold 6354 @ 3.00GHz,"41,445"
Intel Core i9-12900KF,"41,248"
AMD EPYC 7F52,"41,023"
AMD EPYC 7352,"40,962"
Apple M1 Ultra 20 Core,"40,922"
Intel Xeon Platinum 8275CL @ 3.00GHz,"40,794"
AMD Ryzen Threadripper PRO 5945WX,"40,684"
AMD EPYC 7313,"40,605"
AMD Ryzen Threadripper PRO 3955WX,"40,430"
Intel Xeon W-3275M @ 2.50GHz,"39,979"
Intel Core i7-13700F,"39,896"
Intel Xeon w5-2455X,"39,596"
AMD EPYC 7551P,"39,394"
Intel Xeon W-3335 @ 3.40GHz,"39,293"
AMD Ryzen 9 5900X,"39,265"
AMD Ryzen 9 3950X,"38,920"
Intel Core i7-13850HX,"38,901"
Intel Core i7-13700,"38,719"
Intel Core i5-13600K,"38,353"
Intel Xeon Platinum 8180 @ 2.50GHz,"38,259"
Intel Core i5-13600KF,"38,227"
Intel Xeon w5-3425,"38,056"
Intel Xeon Gold 6346 @ 3.10GHz,"37,722"
Intel Xeon Gold 5320 @ 2.20GHz,"37,558"
Intel Xeon Gold 6238R @ 2.20GHz,"37,511"
Intel Xeon Silver 4316 @ 2.30GHz,"37,264"
Intel Xeon W-3175X @ 3.10GHz,"37,167"
Intel Core i9-12900F,"37,006"
Intel Xeon Gold 6268CL @ 2.80GHz,"36,878"
Intel Xeon Gold 5416S,"36,391"
AMD Ryzen 7 7700X,"36,347"
ARM Neoverse-N1 80 Core 3000 MHz,"36,328"
Intel Xeon Gold 6248R @ 3.00GHz,"35,626"
AMD Ryzen 7 PRO 7745,"35,225"
Intel Xeon Gold 6326 @ 2.90GHz,"35,224"
AMD Ryzen 7 7700,"35,114"
Intel Core i9-12900TE,"35,057"
Intel Xeon Gold 6242R @ 3.10GHz,"34,963"
Intel Core i9-12900HX,"34,927"
Intel Core i7-12700K,"34,746"
AMD Ryzen 9 PRO 5945,"34,730"
AMD Ryzen 7 7800X3D,"34,698"
AMD Ryzen 9 5900,"34,540"
Intel Core i7-12700KF,"34,515"
Intel Core i9-12900,"34,306"
Intel Core i7-13700HX,"34,304"
Intel Xeon Gold 6230R @ 2.10GHz,"34,183"
Intel Xeon Platinum 8260M @ 2.30GHz,"33,970"
Intel Xeon Gold 6338 @ 2.00GHz,"33,814"
Intel Xeon D-2799 @ 2.40GHz,"33,792"
Intel Core i5-13600,"33,524"
AMD Ryzen Threadripper PRO 3945WX,"33,503"
Intel Xeon Gold 5220R @ 2.20GHz,"33,370"
Intel Xeon Gold 6240R @ 2.40GHz,"33,353"
Intel Xeon Gold 5318Y @ 2.10GHz,"33,283"
Intel Core i7-12800HX,"33,131"
Intel Core i9-12950HX,"33,022"
Intel Xeon w5-2445,"32,963"
AMD EPYC 7302,"32,930"
AMD Ryzen 7 7745HX,"32,915"
Intel Core i9-10980XE @ 3.00GHz,"32,849"
Intel Xeon Gold 6278C @ 2.60GHz,"32,835"
Intel Xeon Platinum 8280 @ 2.70GHz,"32,781"
AMD Ryzen 9 3900XT,"32,758"
AMD EPYC 7302P,"32,734"
AMD Ryzen 9 3900X,"32,700"
Intel Xeon Platinum 8168 @ 2.70GHz,"32,549"
Intel Core i5-13500,"32,472"
AMD Ryzen Threadripper 2990WX,"32,416"
Intel Core i7-13650HX,"32,026"
Intel Xeon W-3265M @ 2.70GHz,"32,025"
Intel Core i9-13900HK,"32,019"
Intel Core i9-9980XE @ 3.00GHz,"31,998"
Intel Xeon Platinum 8173M @ 2.00GHz,"31,837"
Intel Core i9-13905H,"31,827"
Intel Xeon Platinum 8268 @ 2.90GHz,"31,632"
AMD Ryzen 9 PRO 3900,"31,299"
AMD Ryzen 9 7940H,"31,099"
AMD EPYC 7371,"31,094"
Intel Core i7-12700F,"30,991"
Intel Core i7-12700,"30,964"
AMD Ryzen 9 7940HS,"30,861"
AMD Ryzen 9 3900,"30,856"
Intel Xeon Platinum 8171M @ 2.60GHz,"30,632"
Intel Xeon W-2295 @ 3.00GHz,"30,568"
AMD EPYC Embedded 7292P,"30,542"
Intel Core i7-12850HX,"30,490"
Intel Xeon Gold 6246R @ 3.40GHz,"30,468"
Intel Xeon Platinum 8259CL @ 2.50GHz,"30,463"
Intel Core i9-7980XE @ 2.60GHz,"30,439"
Intel Xeon W-3245 @ 3.20GHz,"30,371"
Intel Core i5-13600HX,"30,169"
Intel Core i9-9990XE @ 4.00GHz,"30,162"
Intel Xeon W-3265 @ 2.70GHz,"30,105"
Intel Core i9-12900T,"30,078"
Intel Core i9-9960X @ 3.10GHz,"30,060"
Intel Core i9-13900H,"30,002"
AMD Ryzen Threadripper 2970WX,"29,851"
Intel Core i7-12800HE,"29,805"
Intel Xeon Gold 6248 @ 2.50GHz,"29,504"
Intel Xeon Gold 6154 @ 3.00GHz,"29,488"
AMD Ryzen Threadripper 2950X,"29,396"
Intel Xeon Platinum 8260 @ 2.40GHz,"29,360"
Intel Xeon Gold 6254 @ 3.10GHz,"29,356"
AMD EPYC 7282,"29,284"
Intel Xeon W-3245M @ 3.20GHz,"29,277"
Intel Core i7-13700T,"29,275"
AMD Ryzen 7 7840H,"29,171"
Intel Xeon Silver 4314 @ 2.40GHz,"29,163"
AMD Ryzen 7 7840HS,"29,144"
Intel Xeon Gold 6148 @ 2.40GHz,"28,993"
Intel Xeon Gold 6210U @ 2.50GHz,"28,915"
Intel Xeon Silver 4410T,"28,859"
AMD Ryzen 5 7600X,"28,817"
Intel Xeon W-2191B @ 2.30GHz,"28,765"
Intel Core i9-7960X @ 2.80GHz,"28,660"
Intel Core i9-12900H,"28,652"
Intel Xeon Gold 6253CL @ 3.10GHz,"28,549"
Intel Xeon D-2795NT @ 2.00GHz,"28,463"
Intel Core i7-13700H,"28,460"
Intel Core i7-12700E,"28,292"
AMD EPYC 7401P,"28,282"
AMD Ryzen 7 5800X3D,"28,230"
Intel Core i9-12900HK,"28,148"
Intel Core i5-13500HX,"28,115"
ARM Neoverse-N1 64 Core 0 MHz,"28,064"
Intel Core i9-9940X @ 3.30GHz,"28,047"
AMD Ryzen 7 5800X,"28,014"
Intel Xeon Platinum 8160 @ 2.10GHz,"27,968"
Intel Xeon W-2275 @ 3.30GHz,"27,952"
AMD Ryzen 9 PRO 7940HS,"27,912"
Intel Core i9-10940X @ 3.30GHz,"27,829"
Intel Core i5-12600K,"27,790"
AMD Ryzen 5 PRO 7645,"27,734"
Intel Core i5-13490F,"27,675"
AMD Ryzen 5 7600,"27,625"
Intel Xeon Gold 6238 @ 2.10GHz,"27,617"
AMD Ryzen Threadripper 2990X,"27,606"
AMD Ryzen Threadripper 1950X,"27,603"
Intel Core i7-13800H,"27,493"
Intel Xeon Gold 6212U @ 2.40GHz,"27,470"
Intel Core i5-12600KF,"27,466"
Intel Xeon W-2195 @ 2.30GHz,"27,447"
AMD EPYC 7571,"27,445"
Intel Xeon Gold 5317 @ 3.00GHz,"27,402"
Intel Xeon Platinum 8124M @ 3.00GHz,"27,336"
AMD EPYC 72F3,"27,252"
Intel Xeon D-2775TE @ 2.00GHz,"27,209"
Intel Xeon w3-2435,"27,166"
AMD Ryzen 7 7840S,"27,161"
Intel Xeon Gold 6252 @ 2.10GHz,"27,148"
Intel Xeon Gold 6142 @ 2.60GHz,"27,114"
Intel Xeon Gold 6208U @ 2.90GHz,"27,085"
Intel Xeon Gold 6230 @ 2.10GHz,"27,069"
Intel Xeon Gold 6150 @ 2.70GHz,"26,905"
Intel Core i5-13600T,"26,876"
Intel Core i7-13620H,"26,834"
AMD Ryzen 7 5700X,"26,791"
Intel Xeon Platinum 8175M @ 2.50GHz,"26,659"
Intel Core i7-13700TE,"26,616"
Intel Core i5-13450HX,"26,517"
Intel Core i7-12700H,"26,476"
Apple M2 Pro 12 Core 3480 MHz,"26,391"
Intel Core i9-10920X @ 3.50GHz,"26,357"
Intel Xeon D-2796TE @ 2.00GHz,"26,342"
AMD Ryzen 7 PRO 5845,"26,305"
Intel Xeon Gold 6242 @ 2.80GHz,"26,288"
Apple M2 Max 12 Core 3680 MHz,"26,281"
AMD Ryzen Z1 Extreme,"26,279"
AMD Ryzen 5 7500F,"26,270"
Intel Core i9-7940X @ 3.10GHz,"26,245"
Intel Xeon Gold 6226R @ 2.90GHz,"26,240"
AMD Ryzen 7 PRO 7840U,"26,095"
Intel Core i9-12900E,"26,055"
Intel Xeon W-2265 @ 3.50GHz,"26,014"
Intel Xeon Gold 5218R @ 2.10GHz,"25,916"
Intel Xeon W-3323 @ 3.50GHz,"25,875"
AMD Ryzen 7 5800,"25,870"
Intel Xeon W-3235 @ 3.30GHz,"25,823"
Intel Xeon E5-2698R v4 @ 2.20GHz,"25,605"
Intel Core i5-13400F,"25,575"
AMD EPYC 7272,"25,568"
AMD EPYC 7351P,"25,484"
Intel Xeon W-1390P @ 3.50GHz,"25,451"
Intel Core i9-11900K @ 3.50GHz,"25,421"
Intel Xeon Platinum 8167M @ 2.00GHz,"25,396"
Intel Core i9-11900KF @ 3.50GHz,"25,388"
Intel Core i5-13600H,"25,354"
Intel Core i5-13400,"25,275"
AMD Ryzen 7 7840U,"25,263"
Intel Core i9-9920X @ 3.50GHz,"25,170"
Intel Xeon Gold 5415+,"25,033"
AMD Ryzen Threadripper 2920X,"25,031"
AMD Ryzen 7 PRO 7840HS,"24,998"
AMD Ryzen 9 6900HX,"24,930"
AMD EPYC 7501,"24,925"
Intel Core i7-12800H,"24,893"
Intel Xeon E5-2699 v4 @ 2.20GHz,"24,859"
Intel Xeon Gold 6246 @ 3.30GHz,"24,829"
Intel Xeon Gold 6143 @ 2.80GHz,"24,786"
Intel Xeon Gold 6152 @ 2.10GHz,"24,680"
Intel Core i7-11700K @ 3.60GHz,"24,678"
AMD Ryzen 7 5700G,"24,670"
Intel Core i5-12600HE,"24,599"
Intel Xeon E5-2696 v4 @ 2.20GHz,"24,573"
Intel Xeon W-1370P @ 3.60GHz,"24,540"
AMD Ryzen 7 PRO 5750G,"24,428"
AMD Ryzen 7 7735H,"24,427"
AMD Ryzen 7 5700,"24,364"
AMD Ryzen 7 7735HS,"24,188"
Intel Xeon Gold 5220 @ 2.20GHz,"24,154"
Intel Core i5-13500T,"24,148"
Intel Xeon E5-2679 v4 @ 2.50GHz,"24,131"
Intel Xeon W-2170B @ 2.50GHz,"24,064"
Intel Core i7-11700KF @ 3.60GHz,"24,044"
AMD Ryzen 5 7640HS,"24,036"
AMD Ryzen 9 6900HS,"23,985"
Intel Core i5-12600HX,"23,908"
Intel Xeon W-1370 @ 2.90GHz,"23,908"
Intel Xeon W-1390 @ 2.80GHz,"23,902"
Intel Xeon Gold 6140 @ 2.30GHz,"23,782"
Intel Xeon Gold 6122 @ 1.80GHz,"23,781"
Intel Core i7-13705H,"23,753"
AMD Ryzen 7 3800XT,"23,714"
Intel Xeon Silver 4410Y,"23,713"
Intel Xeon W-11865MRE @ 2.60GHz,"23,702"
AMD Ryzen 7 6800H,"23,701"
Intel Xeon E-2388G @ 3.20GHz,"23,694"
AMD Ryzen 9 5980HX,"23,666"
Intel Core i7-12650H,"23,659"
Intel Core i9-7920X @ 2.90GHz,"23,570"
AMD EPYC 7351,"23,566"
Intel Xeon E5-2698 v4 @ 2.20GHz,"23,469"
AMD EPYC 7F32,"23,311"
Intel Xeon Gold 6146 @ 3.20GHz,"23,296"
AMD Ryzen 9 PRO 6950HS,"23,295"
Intel Xeon W-2175 @ 2.50GHz,"23,247"
AMD Ryzen 7 3800X,"23,225"
Intel Xeon Platinum 8176 @ 2.10GHz,"23,179"
AMD Ryzen 7 7736U,"23,163"
Intel Core i9-10900K @ 3.70GHz,"23,148"
AMD Ryzen Threadripper 1920X,"23,063"
Intel Core i9-11980HK @ 2.60GHz,"23,063"
Intel Core i9-11900KB @ 3.30GHz,"23,031"
Intel Core i9-11900 @ 2.50GHz,"23,027"
Intel Core i5-12600H,"23,012"
Intel Xeon W-11955M @ 2.60GHz,"22,995"
Intel Xeon E5-2696 v3 @ 2.30GHz,"22,988"
AMD Ryzen 7 6800HS,"22,976"
AMD Ryzen 7 PRO 3700,"22,975"
AMD Ryzen 7 PRO 6850H,"22,945"
Intel Core i7-11700B @ 3.20GHz,"22,910"
Intel Core i9-10900KF @ 3.70GHz,"22,847"
Intel Xeon W-1290P @ 3.70GHz,"22,812"
Intel Xeon Silver 4310 @ 2.10GHz,"22,797"
AMD Ryzen 9 5900HX,"22,777"
Intel Core i5-13500H,"22,718"
Intel Core i9-11900F @ 2.50GHz,"22,716"
Intel Xeon Gold 6132 @ 2.60GHz,"22,696"
Intel Xeon Platinum P-8124 @ 3.00GHz,"22,674"
AMD Ryzen 7 6800HS Creator Edition,"22,649"
AMD Ryzen 7 3700X,"22,629"
Intel Core i9-10850K @ 3.60GHz,"22,611"
Intel Xeon E5-2699A v4 @ 2.40GHz,"22,586"
AMD Ryzen 9 PRO 6950H,"22,510"
Intel Core i9-10900X @ 3.70GHz,"22,495"
Intel Xeon E-2378G @ 2.80GHz,"22,467"
Intel Core i7-1370P,"22,428"
AMD Ryzen 9 6900HS Creator Edition,"22,366"
