CPU Name,Performance
Intel Core i7-9700F @ 3.00GHz,"13,295"
Intel Core i7-9700 @ 3.00GHz,"13,285"
Intel Xeon D-1581 @ 1.80GHz,"13,282"
Intel Xeon E-2146G @ 3.50GHz,"13,260"
Intel Core i3-12300T,"13,239"
Intel Xeon E5-2695 v2 @ 2.40GHz,"13,230"
AMD Ryzen Embedded V2516,"13,225"
AMD Ryzen 5 2600,"13,220"
AMD Ryzen 5 3500X,"13,209"
Intel Xeon E5-2660 v3 @ 2.60GHz,"13,189"
Intel Xeon E-2334 @ 3.40GHz,"13,189"
Intel Core i3-13100T,"13,187"
Intel Xeon E5-2675 v3 @ 1.80GHz,"13,180"
AMD Ryzen 5 5500U,"13,175"
AMD Ryzen 5 PRO 4655GE,"13,163"
Intel Core i5-11500T @ 1.50GHz,"13,097"
Intel Xeon E5-1680 v3 @ 3.20GHz,"13,086"
AMD Ryzen 5 1600X,"13,071"
Intel Xeon D-1587 @ 1.70GHz,"13,019"
Intel Xeon Silver 4114 @ 2.20GHz,"12,988"
Intel Xeon E5-4627 v4 @ 2.60GHz,"12,969"
Intel Core i3-12100TE,"12,961"
Intel Xeon E5-2685 v3 @ 2.60GHz,"12,944"
Intel Core i7-8700 @ 3.20GHz,"12,918"
AMD Ryzen 3 5300G,"12,904"
Intel Core i7-9700E @ 2.60GHz,"12,881"
Intel Xeon W-10855M @ 2.80GHz,"12,881"
Intel Core i7-10700T @ 2.00GHz,"12,848"
AMD Ryzen 3 PRO 7330U,"12,846"
Intel Core i7-7800X @ 3.50GHz,"12,839"
AMD Ryzen 5 3500,"12,823"
Intel Core i5-10500 @ 3.10GHz,"12,807"
Intel Core i3-12100T,"12,785"
AMD Ryzen 5 PRO 4650U,"12,727"
Intel Xeon E5-1680 v2 @ 3.00GHz,"12,723"
Intel Core i7-1260U,"12,698"
AMD Ryzen 3 3300X,"12,677"
Intel Core i7-5960X @ 3.00GHz,"12,671"
Intel Xeon W-2133 @ 3.60GHz,"12,647"
Intel Xeon E5-2650L v4 @ 1.70GHz,"12,646"
Intel Xeon E5-2680 v2 @ 2.80GHz,"12,612"
Intel Xeon E5-1660 v3 @ 3.00GHz,"12,591"
Intel Xeon W-11555MLE @ 1.90GHz,"12,591"
Intel Xeon E5-2667 v3 @ 3.20GHz,"12,552"
Intel Core i3-1315U,"12,516"
Intel Xeon D-2143IT @ 2.20GHz,"12,461"
Intel Core i7-1250U,"12,438"
Intel Xeon E5-2618L v4 @ 2.20GHz,"12,406"
Intel Xeon E5-2649 v3 @ 2.30GHz,"12,399"
AMD Ryzen 5 1600,"12,300"
Intel Xeon E5-2667 v2 @ 3.30GHz,"12,280"
Intel Core i5-10400F @ 2.90GHz,"12,257"
Intel Core i5-10505 @ 3.20GHz,"12,220"
Intel Xeon E5-2640 v4 @ 2.40GHz,"12,201"
Intel Core i5-10400 @ 2.90GHz,"12,201"
Intel Xeon E5-2687W v2 @ 3.40GHz,"12,184"
Intel Xeon E5-2673 v2 @ 3.30GHz,"12,128"
Intel Xeon E5-2692 v2 @ 2.20GHz,"12,119"
Intel Xeon D-2141I @ 2.20GHz,"12,117"
AMD Ryzen 5 PRO 4500U,"12,117"
Apple A17 Pro,"12,097"
Intel Core i7-8700B @ 3.20GHz,"12,059"
Intel Core i7-10750H @ 2.60GHz,"12,046"
Intel Xeon E-2278GEL @ 2.00GHz,"12,024"
Intel Core i7-11375H @ 3.30GHz,"12,000"
Intel Xeon E5-2650 v3 @ 2.30GHz,"11,984"
Intel Xeon E5-2650L v3 @ 1.80GHz,"11,926"
Intel Core i7-10850H @ 2.70GHz,"11,904"
ARM Neoverse-N1 32 Core 1700 MHz,"11,820"
Snapdragon 8cx Gen 3 @ 3.0 GHz,"11,814"
Intel Xeon E-2276M @ 2.80GHz,"11,789"
Intel Core i7-11370H @ 3.30GHz,"11,787"
Intel Xeon E5-2663 v3 @ 2.80GHz,"11,777"
ARM Neoverse-N1 80 Core 2800 MHz,"11,755"
Intel CC150 @ 3.50GHz,"11,745"
Intel Xeon D-2146NT @ 2.30GHz,"11,736"
Intel Xeon E5-2630 v4 @ 2.20GHz,"11,730"
Intel Core i3-13100E,"11,650"
Intel Xeon D-1577 @ 1.30GHz,"11,645"
AMD Ryzen 3 3100,"11,634"
Intel Xeon E5-4657L v2 @ 2.40GHz,"11,613"
AMD Ryzen 3 5425U,"11,553"
Intel Xeon E5-2648L v4 @ 1.80GHz,"11,547"
AMD Ryzen 3 5400U,"11,534"
Intel Xeon E5-4669 v4 @ 2.20GHz,"11,523"
Intel Xeon E-2186M @ 2.90GHz,"11,507"
Intel Xeon E5-1650 v4 @ 3.60GHz,"11,467"
Intel Core i7-6850K @ 3.60GHz,"11,431"
Intel Xeon E5-2670 v2 @ 2.50GHz,"11,359"
Intel Core i3-11100B @ 3.60GHz,"11,357"
Intel Core i5-10500H @ 2.50GHz,"11,352"
Intel Xeon E5-4627 v3 @ 2.60GHz,"11,344"
AMD Ryzen 3 PRO 4200G,"11,315"
Intel Core i3-11100HE @ 2.40GHz,"11,289"
AMD Ryzen 3 PRO 5475U,"11,272"
Intel Core i7-9850H @ 2.60GHz,"11,250"
AMD Ryzen 3 4300GE,"11,225"
Intel Core i5-10600T @ 2.40GHz,"11,210"
Intel Xeon E5-2640 v3 @ 2.60GHz,"11,187"
Intel Core i3-1215U,"11,141"
Intel Xeon Silver 4208 @ 2.10GHz,"11,136"
Apple A16 Bionic,"11,132"
Intel Xeon E5-2643 v4 @ 3.40GHz,"11,123"
AMD Ryzen 3 PRO 5450U,"11,109"
Intel Core i3-1210U,"11,087"
Intel Core i7-1195G7 @ 2.90GHz,"11,087"
AMD Ryzen 3 7330U,"11,081"
Intel Xeon Silver 4209T @ 2.20GHz,"11,080"
Intel Xeon E5-2628L v4 @ 1.90GHz,"11,079"
Intel Xeon E-2226G @ 3.40GHz,"11,073"
Intel Xeon E5-4650 v2 @ 2.40GHz,"11,064"
AMD Ryzen 3 4100,"11,049"
AMD Ryzen 5 4500U,"11,016"
Intel Core i5-11300H @ 3.10GHz,"11,013"
AMD Ryzen 3 PRO 4350GE,"10,984"
Intel Core i7-9750H @ 2.60GHz,"10,977"
AMD Ryzen 3 PRO 4350G,"10,965"
Apple A12X Bionic,"10,956"
Intel Core i5-11320H @ 3.20GHz,"10,949"
AMD Ryzen 3 PRO 4200GE,"10,930"
AMD Ryzen 3 4300G,"10,929"
Intel Xeon E5-2618L v3 @ 2.30GHz,"10,881"
Intel Core i5-1230U,"10,861"
AMD Ryzen 5 PRO 1600,"10,861"
Intel Xeon E5-4650 v3 @ 2.10GHz,"10,838"
Intel Xeon E-2176M @ 2.70GHz,"10,828"
Intel Core i5-10500E @ 3.10GHz,"10,827"
Intel Core i5-9600KF @ 3.70GHz,"10,773"
Intel Core i7-6800K @ 3.40GHz,"10,767"
Intel Core i5-9600K @ 3.70GHz,"10,739"
Intel Core i7-9700T @ 2.00GHz,"10,739"
Intel Xeon E-2126G @ 3.30GHz,"10,715"
Intel Core i7-9750HF @ 2.60GHz,"10,707"
Intel Core i7-9700TE @ 1.80GHz,"10,647"
Intel Xeon W-2225 @ 4.10GHz,"10,635"
Intel Core i9-8950HK @ 2.90GHz,"10,607"
Intel Core i7-1185G7 @ 3.00GHz,"10,571"
Intel Xeon E5-2660 v2 @ 2.20GHz,"10,568"
Intel Xeon E5-2658 v2 @ 2.40GHz,"10,559"
AMD Ryzen 3 PRO 4355GE,"10,559"
Intel Xeon E5-2470 v2 @ 2.40GHz,"10,538"
Intel Xeon E5-4620 v3 @ 2.00GHz,"10,525"
Intel Xeon E5-2630L v4 @ 1.80GHz,"10,491"
Intel Xeon D-1567 @ 2.10GHz,"10,447"
Intel Core i7-1185G7E @ 2.80GHz,"10,444"
Intel Xeon E5-2643 v3 @ 3.40GHz,"10,437"
Intel Xeon E5-1650 v3 @ 3.50GHz,"10,405"
Intel Core i7-11390H @ 3.40GHz,"10,380"
Intel Xeon E5-4640 v3 @ 1.90GHz,"10,372"
Intel Core i7-1165G7 @ 2.80GHz,"10,370"
Intel Core i5-1334U,"10,366"
Intel Xeon E5-2630 v3 @ 2.40GHz,"10,362"
Intel Core i3-10325 @ 3.90GHz,"10,354"
Intel Core i5-1155G7 @ 2.50GHz,"10,349"
Intel Xeon Silver 4109T @ 2.00GHz,"10,348"
Intel Core i7-5930K @ 3.50GHz,"10,339"
Intel Xeon E5-1660 v2 @ 3.70GHz,"10,339"
Intel Core i5-9600 @ 3.10GHz,"10,306"
Intel Core i7-8850H @ 2.60GHz,"10,293"
Intel Core i7-8700T @ 2.40GHz,"10,257"
Intel Core i5-8600K @ 3.60GHz,"10,229"
Intel Core i3-N305,"10,226"
Intel Core i5-9500F @ 3.00GHz,"10,212"
Intel Xeon D-1541 @ 2.10GHz,"10,191"
Intel Core i5-10500T @ 2.30GHz,"10,104"
Intel Core i7-4960X @ 3.60GHz,"10,101"
Intel Xeon Silver 4110 @ 2.10GHz,"10,098"
AMD Ryzen 3 PRO 4450U,"10,091"
Intel Core i3-10320 @ 3.80GHz,"10,063"
Intel Xeon D-1540 @ 2.00GHz,"10,061"
Intel Xeon W-2125 @ 4.00GHz,"10,025"
Intel Xeon E5-2687W @ 3.10GHz,"9,997"
Intel Core i5-8600 @ 3.10GHz,"9,965"
Intel Core i7-8750H @ 2.20GHz,"9,962"
Intel Xeon E-2234 @ 3.60GHz,"9,961"
Intel Core i5-1145G7 @ 2.60GHz,"9,959"
Intel Xeon E5-2628L v3 @ 2.00GHz,"9,949"
Intel Core i5-10400T @ 2.00GHz,"9,944"
Intel Xeon E5-2650 v2 @ 2.60GHz,"9,939"
Intel Core i5-1135G7 @ 2.40GHz,"9,916"
Intel Core i7-7740X @ 4.30GHz,"9,878"
Apple A15 Bionic,"9,868"
Intel Core i7-5820K @ 3.30GHz,"9,867"
Intel Xeon E5-2648L v3 @ 1.80GHz,"9,847"
Intel Core i5-9500TE @ 2.20GHz,"9,846"
Intel Core i3-1125G4 @ 2.00GHz,"9,809"
Intel Core i5-9500 @ 3.00GHz,"9,783"
Intel Xeon E-2324G @ 3.10GHz,"9,771"
Intel Xeon E-2274G @ 4.00GHz,"9,760"
Intel Xeon E5-2690 @ 2.90GHz,"9,751"
Intel Core i7-10710U @ 1.10GHz,"9,734"
Intel Xeon E5-2689 @ 2.60GHz,"9,730"
Intel Core i3-1305U,"9,724"
Intel Xeon E-2174G @ 3.80GHz,"9,714"
Intel Xeon D-1718T @ 2.60GHz,"9,713"
AMD Ryzen 3 5300U,"9,706"
Intel Core i7-1068NG7 @ 2.30GHz,"9,677"
AMD Ryzen 5 7520U,"9,667"
Intel Core i7-7700K @ 4.20GHz,"9,657"
Intel Core i3-1215UE,"9,643"
AMD Ryzen 5 PRO 3350GE,"9,643"
Hygon C86 3185 8-core,"9,627"
Intel Core i5-1140G7 @ 1.10GHz,"9,610"
Intel Core i5-8500 @ 3.00GHz,"9,605"
Intel Xeon E-2244G @ 3.80GHz,"9,582"
Intel Core i5-9600T @ 2.30GHz,"9,580"
Intel Xeon E5-4620 v2 @ 2.60GHz,"9,540"
Intel Xeon Gold 5222 @ 3.80GHz,"9,504"
Intel Core i5-9400F @ 2.90GHz,"9,500"
AMD Ryzen 5 2500X,"9,491"
Intel Core i5-1145GRE @ 2.60GHz,"9,428"
Intel Core i7-4930K @ 3.40GHz,"9,417"
Intel Xeon E5-2680 @ 2.70GHz,"9,414"
Intel Xeon E5-2651 v2 @ 1.80GHz,"9,408"
Intel Core i5-1145G7E @ 2.60GHz,"9,392"
Intel Core i3-10300 @ 3.70GHz,"9,389"
Intel Core i5-9400 @ 2.90GHz,"9,386"
Intel Xeon E5-4655 v3 @ 2.90GHz,"9,377"
Apple A12Z Bionic,"9,365"
Snapdragon 8 Gen2 Mobile Platform for Galaxy,"9,362"
AMD Ryzen 5 PRO 3350G,"9,347"
AMD Ryzen 5 3350GE,"9,343"
Intel Xeon E5-1650 v2 @ 3.50GHz,"9,329"
Intel Xeon E5-4627 v2 @ 3.30GHz,"9,320"
Intel Xeon E3-1275 v6 @ 3.80GHz,"9,302"
Intel Core i5-8600T @ 2.30GHz,"9,298"
AMD Ryzen 5 3400G,"9,297"
Intel Core i5-1245UE,"9,283"
AMD Ryzen 5 PRO 1500,"9,279"
Intel Xeon E5-2450 v2 @ 2.50GHz,"9,269"
Intel Core i5-8400 @ 2.80GHz,"9,255"
Intel Xeon E5-2620 v4 @ 2.10GHz,"9,218"
AMD Ryzen 3 7320U,"9,209"
Intel Core i7-1265UE,"9,195"
Mediatek MT8798Z/CNZA,"9,179"
Intel Xeon E-2144G @ 3.60GHz,"9,175"
AMD Ryzen 5 PRO 3400G,"9,170"
Intel Core i5-1038NG7 @ 2.00GHz,"9,170"
Intel Xeon E-2134 @ 3.50GHz,"9,166"
Mediatek MT6983W/CZA,"9,155"
Intel Core i7-1160G7 @ 1.20GHz,"9,145"
Intel Xeon E5-2629 v3 @ 2.40GHz,"9,139"
Intel Xeon E5-2643 v2 @ 3.50GHz,"9,134"
QTI SM8550,"9,129"
Intel Pentium Gold 8505,"9,123"
Intel U300,"9,114"
Intel Core i7-9850HL @ 1.90GHz,"9,112"
Intel Core i3-10305 @ 3.80GHz,"9,108"
Intel Xeon D-1715TER @ 2.40GHz,"9,104"
AMD Ryzen 5 1500X,"9,100"
Intel Xeon D-1548 @ 2.00GHz,"9,075"
Intel Xeon E5-4648 v3 @ 1.70GHz,"9,061"
AMD Ryzen 5 3350G,"9,048"
Intel Xeon E3-1280 v6 @ 3.90GHz,"9,028"
Intel Core i3-10105F @ 3.70GHz,"9,022"
Intel Core i5-8500B @ 3.00GHz,"8,989"
Intel Xeon D-1557 @ 1.50GHz,"8,963"
Intel Core i7-6700K @ 4.00GHz,"8,943"
Intel Xeon E3-1270 v6 @ 3.80GHz,"8,931"
Intel Xeon E5-2670 @ 2.60GHz,"8,930"
AMD Ryzen 5 3400GE,"8,901"
Intel Core i5-3170K @ 3.20GHz,"8,882"
Intel Xeon Gold 5122 @ 3.60GHz,"8,857"
Intel Xeon E5-2630L v3 @ 1.80GHz,"8,834"
Intel Xeon E5-2648L v2 @ 1.90GHz,"8,828"
Intel Xeon Silver 4108 @ 1.80GHz,"8,808"
Intel Core i3-10100F @ 3.60GHz,"8,795"
AMD Ryzen 5 2400G,"8,738"
Intel Xeon E3-1245 v6 @ 3.70GHz,"8,694"
Intel Core i3-10100 @ 3.60GHz,"8,694"
Intel Xeon E3-1240 v6 @ 3.70GHz,"8,688"
ARM X-Gene 32 Core 3300 MHz,"8,684"
Intel Core i7-7700 @ 3.60GHz,"8,657"
Intel Core i3-10105 @ 3.70GHz,"8,641"
Intel Atom C5125,"8,631"
Intel Xeon E5-4650 @ 2.70GHz,"8,630"
Intel Core i7-8809G @ 3.10GHz,"8,619"
ARM - 8 Core 2424 MHz,"8,610"
AMD Ryzen Embedded V1807B,"8,609"
Intel Core i5-1130G7 @ 1.10GHz,"8,599"
Intel Core i7-8559U @ 2.70GHz,"8,597"
Intel Core i5-10400H @ 2.60GHz,"8,588"
Intel Xeon W-2223 @ 3.60GHz,"8,578"
AMD Ryzen Embedded R2544,"8,564"
AMD EPYC 3201,"8,545"
Intel Xeon E3-1285 v6 @ 4.10GHz,"8,536"
Apple A14 Bionic,"8,526"
Intel Core i5-10300H @ 2.50GHz,"8,509"
Intel Xeon W-2123 @ 3.60GHz,"8,493"
AMD Ryzen 5 PRO 2400G,"8,482"
Intel Xeon E5-4650L @ 2.60GHz,"8,472"
Intel Core i5-10500TE @ 2.30GHz,"8,449"
Intel Xeon E5-2628 v3 @ 2.50GHz,"8,447"
Intel Xeon E3-1275 v5 @ 3.60GHz,"8,445"
Intel Core i5-9400T @ 1.80GHz,"8,439"
Intel Core i7-1065G7 @ 1.30GHz,"8,427"
Intel Core i7-3970X @ 3.50GHz,"8,408"
Intel Xeon E3-1585 v5 @ 3.50GHz,"8,408"
Intel Core i5-1035G7 @ 1.20GHz,"8,401"
Intel Xeon E5-1660 @ 3.30GHz,"8,394"
Intel Core i7-3960X @ 3.30GHz,"8,390"
AMD Ryzen 3 7320C,"8,386"
Intel Xeon E3-1280 v5 @ 3.70GHz,"8,377"
Intel Xeon E3-1270 v5 @ 3.60GHz,"8,357"
Intel Core i7-1180G7 @ 1.30GHz,"8,351"
AMD Opteron 6386 SE,"8,320"
AMD Ryzen 5 PRO 3400GE,"8,301"
Intel Xeon E5-2470 @ 2.30GHz,"8,295"
AMD Ryzen Embedded V1756B,"8,291"
Intel Xeon E3-1240 v5 @ 3.50GHz,"8,282"
AMD Athlon Gold PRO 4150GE,"8,259"
Intel Core i7-8569U @ 2.80GHz,"8,253"
Intel Core i7-10810U @ 1.10GHz,"8,244"
Intel Core i5-10200H @ 2.40GHz,"8,239"
Intel Xeon E5-2665 @ 2.40GHz,"8,237"
Intel Core i3-10100E @ 3.20GHz,"8,229"
Intel Xeon E-2314 @ 2.80GHz,"8,227"
Intel Xeon E3-1260L v5 @ 2.90GHz,"8,226"
Intel Xeon E3-1230 v6 @ 3.50GHz,"8,218"
AMD Ryzen 7 3750H,"8,208"
Intel Core i7-1185GRE @ 2.80GHz,"8,203"
ARM X-Gene 32 Core 3000 MHz,"8,202"
Intel Core i7-3930K @ 3.20GHz,"8,202"
Intel Xeon E-2276ME @ 2.80GHz,"8,167"
Intel Xeon E5-2660 @ 2.20GHz,"8,138"
Intel Core i3-10305T @ 3.00GHz,"8,136"
Intel Core i5-9500T @ 2.20GHz,"8,131"
Mediatek MT6896Z/CZA,"8,115"
Intel Core i7-8706G @ 3.10GHz,"8,108"
Intel Core i7-6700 @ 3.40GHz,"8,091"
Intel Xeon E5-1650 @ 3.20GHz,"8,090"
Intel Xeon E3-1585L v5 @ 3.00GHz,"8,083"
Intel Xeon E3-1285L v4 @ 3.40GHz,"8,074"
Intel Core i3-10300T @ 3.00GHz,"8,073"
Intel Core i3-N300,"8,064"
Intel Core i7-4790K @ 4.00GHz,"8,063"
Intel Core i5-8269U @ 2.60GHz,"8,055"
CentaurHauls @2500MHz,"8,052"
Intel Xeon E3-1535M v6 @ 3.10GHz,"8,051"
Intel Xeon E3-1230 v5 @ 3.40GHz,"8,040"
Intel Xeon E3-1245 v5 @ 3.50GHz,"8,035"
Intel Core i5-9400H @ 2.50GHz,"8,031"
Intel Core i3-10105T @ 3.00GHz,"8,012"
Intel Core i5-1035G4 @ 1.10GHz,"8,004"
Intel Xeon D-2712T @ 1.90GHz,"7,990"
Intel Core i5-8259U @ 2.30GHz,"7,975"
Intel Xeon E3-1515M v5 @ 2.80GHz,"7,938"
Intel Core i7-8709G @ 3.10GHz,"7,926"
Intel Xeon E3-1575M v5 @ 3.00GHz,"7,908"
AMD Ryzen 7 2800H,"7,863"
AMD EPYC 3151,"7,860"
AMD Opteron 6348,"7,850"
AMD Ryzen 5 2600H,"7,834"
AMD Ryzen 5 3550H,"7,833"
Intel Core i5-8400H @ 2.50GHz,"7,827"
