GPU Name,Performance
GeForce RTX 4090,"38,924"
GeForce RTX 4080,"34,815"
Radeon PRO W7800,"32,146"
GeForce RTX 4070 Ti,"31,636"
Radeon RX 7900 XTX,"31,161"
Radeon PRO W7900,"30,892"
GeForce RTX 3090 Ti,"29,808"
GeForce RTX 4090 Laptop GPU,"29,062"
Radeon RX 7900 XT,"29,036"
Radeon RX 6950 XT,"28,627"
Radeon RX 7900 GRE,"28,086"
GeForce RTX 3080 Ti,"27,345"
Radeon RX 6900 XT,"26,962"
GeForce RTX 3090,"26,920"
GeForce RTX 4070,"26,857"
GeForce RTX 3080 12GB,"26,750"
GeForce RTX 4080 Laptop GPU,"26,522"
GeForce RTX 3080,"25,367"
Radeon RX 6800 XT,"25,177"
Radeon RX 7800 XT,"24,439"
RTX 4000 Ada Generation Laptop GPU,"23,772"
GeForce RTX 3070 Ti,"23,768"
RTX A5000,"23,075"
RTX A6000,"22,772"
RTX 6000 Ada Generation,"22,718"
GeForce RTX 4060 Ti 16GB,"22,694"
GeForce RTX 4060 Ti,"22,507"
GeForce RTX 3070,"22,482"
Radeon RX 6800,"22,382"
NVIDIA A10,"22,064"
GeForce RTX 2080 Ti,"21,861"
RTX A4500,"21,741"
RTX 5000 Ada Generation Laptop GPU,"21,349"
RTX 4000 SFF Ada Generation,"21,300"
Radeon RX 6750 XT,"21,101"
RTX A5500,"20,798"
Radeon RX 7700 XT,"20,674"
Quadro GV100,"20,600"
GeForce RTX 3060 Ti,"20,585"
GeForce RTX 3080 Ti Laptop GPU,"20,353"
RTX 3500 Ada Generation Laptop GPU,"20,285"
TITAN RTX,"19,912"
Radeon RX 6700 XT,"19,888"
TITAN V,"19,852"
Radeon PRO W6800,"19,755"
GeForce RTX 4070 Laptop GPU,"19,597"
GeForce RTX 2080 SUPER,"19,593"
Radeon PRO W7600,"19,589"
GeForce RTX 4060,"19,422"
Quadro RTX 8000,"19,402"
TITAN Xp COLLECTORS EDITION,"19,356"
RTX A4000,"19,297"
Quadro RTX 6000,"19,233"
Radeon RX 6700,"18,832"
GeForce RTX 2080,"18,809"
NVIDIA TITAN Xp,"18,705"
GeForce GTX 1080 Ti,"18,530"
GeForce RTX 3070 Ti Laptop GPU,"18,346"
NVIDIA A10G,"18,293"
GeForce RTX 2070 SUPER,"18,265"
GeForce RTX 4060 Laptop GPU,"18,236"
Radeon RX 6850M XT,"18,236"
A40-48Q,"17,864"
RTX A5500 Laptop GPU,"17,858"
RTX A4500 Laptop GPU,"17,671"
Radeon Pro W5700X,"17,591"
Radeon RX 6650 XT,"17,512"
Radeon RX 7700S,"17,479"
GeForce RTX 3060,"17,136"
TITAN V CEO Edition,"16,988"
Radeon RX 5700 XT,"16,842"
Radeon VII,"16,765"
Radeon RX 5700 XT 50th Anniversary,"16,641"
Radeon RX 7600,"16,616"
GeForce RTX 3080 Laptop GPU,"16,594"
GeForce RTX 2060 SUPER,"16,586"
Radeon RX 6600 XT,"16,451"
Tesla V100-SXM2-16GB,"16,235"
GeForce RTX 2070,"16,173"
Radeon PRO W6600,"16,143"
Quadro RTX 5000,"16,099"
Radeon Pro Vega II Duo,"15,977"
Miracast display port driver V3,"15,910"
RTX A5000 Laptop GPU,"15,861"
GeForce RTX 2060 12GB,"15,839"
Radeon PRO W7500,"15,831"
Radeon Pro Vega II,"15,668"
Quadro P6000,"15,619"
Quadro GP100,"15,608"
RTX A4000 Laptop GPU,"15,565"
GeForce RTX 3070 Laptop GPU,"15,543"
Radeon RX 6800S,"15,537"
Radeon Pro W5700,"15,494"
GeForce GTX 1080,"15,483"
Quadro RTX 4000,"15,442"
Radeon Pro VII,"15,441"
RTX 2000 Ada Generation Laptop GPU,"15,368"
Radeon RX 7600M XT,"15,347"
Radeon RX 6600,"15,143"
GeForce RTX 2080 (Mobile),"15,107"
GeForce RTX 4050 Laptop GPU,"14,920"
Radeon RX 6600S,"14,897"
Quadro RTX 5000 (Mobile),"14,832"
Radeon RX 6700S,"14,827"
GeForce GTX 1070 Ti,"14,718"
RTX A3000 12GB Laptop GPU,"14,693"
Radeon RX 5700,"14,654"
Radeon Pro Vega 64X,"14,631"
Radeon RX Vega 64,"14,511"
RadeonT RX 6850M XT,"14,432"
GeForce RTX 2060,"14,114"
Radeon Pro WX 8200,"13,926"
GeForce RTX 2070 Super with Max-Q Design,"13,911"
GeForce GTX 980 Ti,"13,833"
GeForce RTX 2080 Super with Max-Q Design,"13,832"
RTX A2000,"13,825"
Radeon RX 5600 XT,"13,784"
NVIDIA TITAN X,"13,660"
Radeon RX 6600M,"13,616"
Quadro RTX 5000 with Max-Q Design,"13,585"
RTX A2000 12GB,"13,575"
Radeon RX 6650M,"13,566"
GeForce GTX 1070,"13,511"
Radeon RX Vega 56,"13,462"
Radeon Vega Frontier Edition,"13,417"
GeForce RTX 3060 Laptop GPU,"13,400"
Radeon RX 6700M,"13,283"
Radeon Pro WX 9100,"13,192"
Intel d gfx-driver-ci-master-14429 DCH RI,"13,174"
GeForce RTX 2080 with Max-Q Design,"13,171"
Radeon PRO W6600X,"13,113"
GeForce GTX TITAN X,"13,058"
Radeon RX 6800M,"13,054"
Radeon RX 7600S,"13,005"
GeForce RTX 3050,"12,967"
GeForce GTX 1660 Ti,"12,961"
Radeon Pro Vega 64,"12,919"
GeForce GTX 1660 SUPER,"12,788"
Radeon RX 5600 OEM,"12,738"
Radeon Pro 5700 XT,"12,690"
Tesla P40,"12,683"
Tesla T10,"12,650"
Quadro P5200,"12,631"
Quadro P5200 with Max-Q Design,"12,608"
Quadro RTX 4000 with Max-Q Design,"12,533"
Quadro RTX 4000 (Mobile),"12,518"
RTX A3000 Laptop GPU,"12,514"
GeForce RTX 2070 (Mobile),"12,354"
Radeon Pro Vega 56,"12,354"
Tesla V100-PCIE-16GB,"12,288"
Radeon RX 6850M,"12,274"
Radeon Pro V520 MxGPU,"12,258"
Quadro P5000,"12,227"
GeForce RTX 3050 OEM,"12,077"
GeForce RTX 2070 with Max-Q Design,"11,886"
Radeon Pro 5700,"11,844"
Quadro M6000,"11,797"
Quadro M6000 24GB,"11,787"
GeForce GTX 1660,"11,724"
Quadro P4000,"11,644"
GeForce GTX 1080 with Max-Q Design,"11,571"
Radeon RX 5600,"11,471"
GeForce RTX 2060 (Mobile),"11,355"
Radeon Pro Vega 48,"11,300"
GeForce GTX 980,"11,132"
Quadro RTX 3000,"11,110"
CMP 40HX,"11,072"
RTX A1000 Embedded GPU,"11,047"
GRID P40-12Q,"11,028"
Quadro P4200 with Max-Q Design,"11,020"
RTX A2000 8GB Laptop GPU,"10,939"
GeForce RTX 3050 6GB Laptop GPU,"10,774"
Tesla T4,"10,693"
Radeon Pro SSG,"10,498"
Tesla M40 24GB,"10,475"
GeForce GTX 1070 (Mobile),"10,465"
Quadro P4200,"10,266"
GeForce GTX 1660 Ti (Mobile),"10,208"
Tesla M40,"10,183"
GeForce RTX 3050 Ti Laptop GPU,"10,164"
RTX A1000 6GB Laptop GPU,"10,131"
GeForce GTX 1650 SUPER,"10,116"
GeForce GTX 1060,"10,071"
Radeon R9 Fury X,"10,062"
GeForce GTX 1070 with Max-Q Design,"10,051"
RTX A2000 Laptop GPU,"10,032"
NVIDIA A40,"9,983"
GRID P40-2B,"9,842"
GeForce RTX 2060 with Max-Q Design,"9,793"
GeForce GTX 1060 3GB,"9,751"
Radeon R9 Fury + Fury X,"9,741"
GeForce GTX 970,"9,640"
Radeon R9 Fury,"9,618"
Radeon RX 590,"9,530"
Radeon RX 6500 XT,"9,500"
RTX A1000 Laptop GPU,"9,495"
GeForce GTX 780 Ti,"9,480"
Radeon Ryzen 9 4900HSS,"9,461"
Radeon R9 390X,"9,447"
Intel Arc Pro A60,"9,409"
GeForce RTX 3050 Laptop GPU,"9,390"
Radeon Pro 5600M,"9,381"
Quadro P2200,"9,374"
Quadro M5000,"9,371"
Quadro P3200 with Max-Q Design,"9,247"
Radeon RX 5500 XT,"9,183"
Radeon Pro W5500,"9,147"
GRID P40-2B4,"9,111"
Quadro P4000 with Max-Q Design,"9,083"
Tesla P4,"9,032"
GeForce GTX TITAN Black,"9,011"
Radeon R9 390,"9,002"
GeForce GTX TITAN Z,"8,987"
Quadro P3200,"8,987"
GRID P40-8Q,"8,967"
GeForce GTX 1060 5GB,"8,946"
Radeon RX 580,"8,909"
Intel Arc A770,"8,901"
Radeon RX 5500,"8,833"
Radeon RX 480,"8,669"
GeForce GTX 1660 Ti with Max-Q Design,"8,664"
Radeon R9 290X,"8,660"
Radeon R9 295X2,"8,638"
Radeon RX590 GME,"8,574"
Quadro RTX 3000 with Max-Q Design,"8,507"
GRID RTX6000-1B,"8,473"
Radeon R9 290X / 390X,"8,389"
Intel Arc A750,"8,377"
Ryzen 5 4600HS with Radeon Graphics,"8,371"
Radeon R9 290,"8,367"
Radeon Pro Duo,"8,296"
Radeon Pro 5500 XT,"8,264"
Tesla V100-PCIE-32GB,"8,260"
Radeon RX 5600M,"8,248"
GeForce GTX Titan,"8,197"
GeForce GTX 1060 (Mobile),"8,161"
Radeon R9 290 / 390,"8,150"
Quadro K6000,"8,053"
Radeon RX 470/570,"8,049"
GeForce GTX 780,"8,026"
Ryzen 9 6900HS,"8,005"
Radeon PRO W6400,"7,991"
Radeon RX 6500M,"7,939"
FirePro W9100,"7,928"
Radeon Pro WX 7100,"7,922"
Quadro M5500,"7,915"
GeForce GTX 1060 with Max-Q Design,"7,906"
GeForce GTX 1650,"7,860"
Radeon RX 580X,"7,798"
T1200 Laptop GPU,"7,778"
Tesla M60,"7,771"
Radeon Pro 580,"7,753"
Radeon RX 580 2048SP,"7,740"
T1000,"7,659"
Radeon RX 5300,"7,652"
T1000 8GB,"7,578"
GeForce GTX 1650 Ti,"7,562"
Radeon Pro 580X,"7,540"
Tesla M6,"7,509"
Radeon RX 6400,"7,436"
Radeon RX 6500,"7,367"
GeForce GTX 980M,"7,355"
FirePro W8100,"7,279"
Radeon 780M,"7,244"
Radeon Pro 5300,"7,230"
Tesla P100-PCIE-16GB,"7,225"
Radeon Ryzen 9 4900HS,"7,186"
GeForce RTX 3050 4GB Laptop GPU,"7,177"
Quadro T2000,"7,129"
Intel Arc A770M,"7,097"
T600 Laptop GPU,"7,069"
Quadro M5000M,"7,052"
A10-8Q,"7,042"
Ryzen 7 4800HS with Radeon Graphics,"6,999"
GeForce RTX 2050,"6,982"
GeForce GTX 1650 (Mobile),"6,969"
Radeon Pro W5500X,"6,967"
RTX A500 Laptop GPU,"6,937"
RadeonT 780M,"6,935"
Quadro T2000 with Max-Q Design,"6,931"
Quadro P2000,"6,923"
Ryzen 7 6800HS with Radeon Graphics,"6,867"
Radeon Ryzen 9 6900HS,"6,861"
Radeon Pro 5500M,"6,817"
GeForce GTX 970XM FORCE,"6,707"
Radeon R9 285,"6,680"
Quadro T1000 with Max-Q Design,"6,675"
Quadro M4000,"6,661"
Radeon Ryzen 7 6800HS,"6,657"
Quadro P3000,"6,622"
Quadro T1000,"6,611"
Radeon RX Vega M GH,"6,581"
Radeon Pro WX 7130,"6,578"
T600,"6,475"
AMD Ryzen Z1 Extreme,"6,442"
GeForce GTX 1650 Ti with Max-Q Design,"6,396"
Radeon Pro 570,"6,337"
Ryzen 9 6900HS with Radeon Graphics,"6,331"
GeForce GTX 1050 Ti,"6,300"
Radeon R9 380X,"6,242"
Radeon R9 280X,"6,240"
Radeon R9 380,"6,224"
Quadro M4000M,"6,206"
Tesla K80,"6,192"
Radeon 680M Ryzen 7 7735HS,"6,180"
FirePro W9000,"6,138"
GeForce GTX 1650 with Max-Q Design,"6,107"
P106-100,"6,106"
GeForce MX570 A,"6,069"
GeForce GTX 960,"6,041"
GeForce MX570,"6,040"
Radeon Ryzen 9 7950X 16-Core,"6,019"
Quadro K5200,"6,015"
Radeon Pro 5300M,"5,986"
GRID P100-16Q,"5,945"
GeForce GTX 1050 Ti (Mobile),"5,919"
GeForce GTX 770,"5,899"
Ryzen 9 PRO 6950H with Radeon Graphics,"5,828"
A16,"5,797"
Ryzen 9 PRO 6950H,"5,759"
Radeon Ryzen 7 PRO 6850H,"5,750"
GeForce GTX 970M,"5,715"
Radeon Ryzen 7 7736U,"5,688"
Radeon PRO Ryzen 7 PRO 6850U,"5,678"
Radeon Pro WX 5100,"5,642"
Radeon Ryzen 7 7735H,"5,626"
Ryzen 9 5900HS with Radeon Graphics,"5,612"
Radeon R9 280,"5,591"
Ryzen 7 PRO 6850U,"5,581"
GeForce GTX 690,"5,580"
Radeon Ryzen 7 6800H,"5,574"
NVIDIA A40-12Q,"5,573"
Radeon HD 7990,"5,566"
Radeon R9 285 / 380,"5,550"
GeForce GTX 680,"5,537"
GRID M60-8A,"5,523"
Quadro M3000M,"5,499"
GeForce GTX 760 Ti OEM,"5,427"
Ryzen 9 6900HX,"5,416"
Radeon Ryzen 7 6800HS Creator Edition,"5,373"
GeForce GTX 1050 Ti with Max-Q Design,"5,372"
Radeon RX 5500M,"5,372"
GRID P40-4Q,"5,365"
GeForce GTX 950,"5,347"
Ryzen 7 6800HS Creator Edition,"5,345"
FirePro W7100,"5,321"
GeForce GTX 670,"5,310"
Ryzen 7 7735HS with Radeon Graphics,"5,307"
Radeon Ryzen 7 7735HS,"5,307"
Radeon Ryzen 9 6900HX,"5,278"
Radeon Pro Vega 20,"5,264"
Radeon 760M,"5,261"
Radeon HD 7970 / R9 280X,"5,248"
Ryzen 7 6800H,"5,248"
Ryzen 7 6800HS,"5,237"
Intel Arc Pro A40/A50,"5,224"
Radeon HD 8990,"5,214"
GRID M60-2Q,"5,203"
Radeon Ryzen 7 PRO 6850HS,"5,166"
Q12U-1,"5,164"
Radeon R9 M295X,"5,150"
GeForce GTX 760 Ti,"5,145"
Radeon Ryzen 7 PRO 6850U,"5,142"
Quadro P2000 with Max-Q Design,"5,132"
GeForce GTX 1050 3GB,"5,120"
Radeon Ryzen 7 7735U,"5,097"
Ryzen 7 PRO 6860Z,"5,077"
Ryzen 9 PRO 6950HS with Radeon Graphics,"5,068"
FirePro S9000,"5,059"
GRID T4-16Q,"5,055"
EIZO Quadro MED-XN51LP,"5,048"
GeForce GTX 1050,"5,045"
Ryzen 7 PRO 6850U with Radeon Graphics,"5,043"
Radeon R9 M395X,"5,038"
Radeon R9 M395,"5,024"
Ryzen 7 6800U,"5,006"
GeForce GTX 1630,"4,996"
Radeon Ryzen 7 4800HS,"4,984"
Radeon Instinct MI25 MxGPU,"4,979"
Barco MXRT 7600,"4,944"
Ryzen 7 6800H with Radeon Graphics,"4,922"
Radeon R9 270X,"4,908"
FirePro S9050,"4,901"
Ryzen 7 6800U with Radeon Graphics,"4,845"
GRID P40-2Q,"4,844"
T550 Laptop GPU,"4,801"
Ryzen 7 PRO 6860Z with Radeon Graphics,"4,789"
GRID RTX6000P-6Q,"4,777"
GeForce GTX 760,"4,775"
FirePro S10000,"4,768"
Radeon HD 7950 / R9 280,"4,765"
Radeon Sky 500,"4,764"
GRID P40-24Q,"4,728"
Radeon R9 370,"4,722"
Radeon Pro Vega 16,"4,683"
Ryzen 9 6900HX with Radeon Graphics,"4,680"
GRID V100D-2Q,"4,668"
Radeon Pro WX Vega M GL,"4,643"
Radeon HD 7870,"4,637"
Radeon Ryzen 7 PRO 6860Z,"4,637"
Matrox LUMA A310F,"4,560"
GeForce MX550,"4,557"
B8DKMDAP,"4,557"
GeForce GTX 580,"4,539"
Radeon Pro 465,"4,538"
Radeon Ryzen 7 6800U,"4,534"
FirePro S7000,"4,524"
GRID T4-8Q,"4,519"
Radeon R7 370,"4,516"
Tesla K40c,"4,495"
Radeon HD 7870 XT,"4,470"
GeForce GTX 1050 (Mobile),"4,462"
GRID M60-1B,"4,457"
Citrix Indirect Display Adapter,"4,447"
GRID P6-4Q,"4,429"
Quadro P1000,"4,420"
GeForce GTX 660 Ti,"4,374"
FirePro W7000 Adapter,"4,362"
GRID GTX P40-6,"4,340"
Tesla K20m,"4,331"
Quadro K4200,"4,315"
Radeon RX 5300M,"4,307"
Radeon R9 270,"4,306"
Quadro M2200,"4,306"
GRID RTX6000P-4Q,"4,283"
FirePro W7000,"4,260"
Radeon R9 270 / R7 370,"4,260"
GRID M60-1Q,"4,251"
RTXA6000-8Q,"4,237"
NVIDIA A40-4Q,"4,230"
NVIDIA A40-8Q,"4,220"
Intel Arc A380,"4,212"
Radeon Ryzen 5 7535HS,"4,180"
Radeon Ryzen 5 6600H,"4,160"
GRID V100D-8Q,"4,156"
GeForce GTX 680MX,"4,142"
Radeon RX 460,"4,112"
FirePro W8000,"4,096"
Radeon 660M Ryzen 5 7535HS,"4,078"
Radeon PRO Ryzen 5 PRO 6650U,"4,067"
RadeonT 660M Ryzen 5 7535HS,"4,042"
GeForce GTX 480,"4,040"
Radeon HD 7800-serie,"4,029"
Radeon Ryzen 7 4800H,"4,010"
GeForce GTX 660,"3,999"
P104-100,"3,996"
A40-24Q,"3,973"
Quadro K5000,"3,973"
GRID RTX8000-4Q,"3,961"
Quadro M2000,"3,955"
GeForce GTX 1050 with Max-Q Design,"3,946"
GRID P6-2Q,"3,926"
GeForce GTX 570,"3,916"
GeForce GTX 780M,"3,904"
Radeon Ryzen 9 PRO 6950HS,"3,902"
GeForce GTX 750 Ti,"3,901"
GRID M60-8Q,"3,884"
Radeon HD 8970M,"3,876"
Intel Arc A310,"3,876"
Radeon HD 7850,"3,854"
Radeon Ryzen 5 6600HS Creator Edition,"3,851"
Radeon Ryzen 5 7535U,"3,850"
Radeon HD 7970M,"3,847"
GRID RTX8000P-2Q,"3,843"
GRID P100-8Q,"3,841"
GRID M60-4Q,"3,831"
Radeon Ryzen 9 7900 12-Core,"3,825"
GRID V100-2Q,"3,811"
GeForce GTX 880M,"3,790"
Radeon Pro WX 4100,"3,764"
Barco MXRT 7500,"3,753"
Ryzen 7 PRO 6850HS with Radeon Graphics,"3,736"
GeForce MX450,"3,735"
GeForce GTX 965M,"3,730"
Ryzen 5 PRO 6650H with Radeon Graphics,"3,727"
Eng Sample: 100-000000545-40_Y,"3,692"
T400 4GB,"3,690"
Matrox LUMA A310,"3,690"
Ryzen 5 6600HS Creator Edition,"3,686"
Ryzen 5 7535HS with Radeon Graphics,"3,680"
Radeon Pro 560X,"3,678"
Ryzen 5 6600H with Radeon Graphics,"3,674"
Radeon Ryzen 5 PRO 6650U,"3,674"
T500,"3,665"
Radeon R9 M485X,"3,661"
Intel Arc A370M,"3,646"
Radeon RX 560,"3,642"
Radeon RX Vega M GL,"3,623"
T400,"3,619"
Radeon Ryzen 5 6600U,"3,589"
Quadro P620,"3,588"
Ryzen 5 PRO 6650U with Radeon Graphics,"3,575"
GRID RTX8000-2Q,"3,574"
GeForce GTX 680M KY_Bullet Edition,"3,569"
GRID M6-8Q,"3,568"
Quadro K2200,"3,545"
Microsoft Basic Display Adapter Ryzen 5 3550H,"3,537"
Ryzen 5 7535U with Radeon Graphics,"3,529"
Ryzen 5 PRO 6650U,"3,519"
GRID K520,"3,516"
GeForce GTX 775M,"3,505"
Quadro 7000,"3,505"
Tesla M10,"3,490"
Radeon Pro 560,"3,475"
Quadro M2000M,"3,459"
Radeon Pro 460,"3,453"
GRID T4-2Q,"3,451"
GeForce GTX 870M,"3,449"
Quadro K2200M,"3,441"
Tesla C2050 / C2070,"3,428"
NVIDIA A10-4Q,"3,425"
Radeon R9 M470X,"3,400"
GeForce GTX 960M,"3,400"
Radeon HD8970M,"3,369"
Radeon E8870PCIe,"3,368"
GeForce GTX 750,"3,356"
GRID M10-1Q,"3,351"
GeForce GTX 650 Ti BOOST,"3,349"
Radeon R9 M390X,"3,346"
GeForce GTX 590,"3,341"
Radeon Ryzen 9 7900X 12-Core,"3,326"
Tesla C2050,"3,323"
GRID P4-8Q,"3,299"
Tesla K40m,"3,281"
Quadro M1200,"3,266"
GRID T4-4Q,"3,260"
Quadro P600,"3,258"
GeForce 770M,"3,246"
Eng Sample: 100-000000534-40_Y,"3,237"
Radeon R9 M290X,"3,234"
Ryzen 5 6600U with Radeon Graphics,"3,233"
Ryzen 7 5800HS with Radeon Graphics,"3,214"
GeForce GTX 680M,"3,206"
Radeon RX 560X,"3,195"
Radeon R9 260,"3,182"
Radeon R7 260X,"3,163"
FirePro V7000,"3,162"
FirePro W7170M,"3,162"
Radeon Pro 555,"3,141"
Quadro K5100M,"3,121"
Radeon Pro 455,"3,113"
Intel G35 Express,"3,090"
Radeon HD 7790,"3,090"
GeForce GTX 470,"3,082"
Radeon R7 360,"3,072"
EIZO MED-X5000,"3,038"
GeForce GTX 860M,"3,035"
GeForce GTX 560 Ti,"3,033"
Radeon R9 360,"3,032"
Tesla C2075,"3,017"
Radeon HD 6990,"3,013"
GRID M10-4Q,"2,977"
FirePro W5100,"2,970"
FirePro W5000,"2,965"
GRID K260Q,"2,949"
Tesla K20Xm,"2,918"
Ryzen 9 5900HX with Radeon Graphics,"2,914"
Quadro M1000M,"2,902"
Radeon R7 260,"2,892"
Quadro K1200,"2,889"
Ryzen 7 PRO 4700G with Radeon Graphics,"2,880"
Eng Sample: 100-000000261-50_Y,"2,860"
Radeon Pro V340 MxGPU,"2,853"
Radeon Ryzen 7 5800HS,"2,852"
Tesla C2070,"2,840"
GRID K280Q,"2,840"
Radeon HD 6970,"2,832"
Quadro M620,"2,827"
GeForce MX350,"2,821"
FirePro W4300,"2,813"
FirePro 3D V9800,"2,812"
Ryzen 7 5700G with Radeon Graphics,"2,806"
GeForce GTX 770M,"2,791"
Radeon 740M,"2,772"
Radeon R9 M380,"2,770"
Quadro K5000M,"2,763"
Radeon Ryzen 9 5900H,"2,755"
Custom GPU 0405,"2,754"
FirePro M6100 FireGL V,"2,749"
Radeon Ryzen 9 5980HS,"2,749"
Ryzen 7 5800H with Radeon Graphics,"2,748"
GeForce GTX 675MX,"2,744"
GRID K2,"2,737"
FirePro S7150,"2,727"
FirePro V9800,"2,727"
Radeon Pro 450,"2,723"
GeForce GTX 560,"2,715"
Ryzen 9 4900H with Radeon Graphics,"2,714"
Radeon Ryzen 7 5800H,"2,704"
Quadro K4000,"2,703"
GRID T4-1Q,"2,703"
Radeon RX 550,"2,702"
Barco MXRT 5500,"2,702"
Quadro 6000,"2,696"
Radeon HD 8950,"2,693"
GRID M10-2Q,"2,692"
Radeon Ryzen 7 4700GE,"2,686"
Intel Iris Xe,"2,685"
GeForce GTX 465,"2,684"
Ryzen 7 Pro 4750G with Radeon Graphics,"2,682"
Radeon Eng Sample: 100-000000300-40_Y,"2,670"
Ryzen 7 5700GE with Radeon Graphics,"2,656"
FirePro R5000,"2,647"
Quadro K4100M,"2,640"
GRID P6-4A,"2,639"
MONSTER GeForce GTX 675M,"2,637"
Ryzen 7 PRO 7730U with Radeon Graphics,"2,634"
Radeon HD 6950,"2,630"
GRID M10-8Q,"2,606"
Radeon Ryzen 7 PRO 4750G,"2,602"
Ryzen 5 5600GE with Radeon Graphics,"2,602"
GRID T4-2B,"2,601"
Radeon Ryzen 7 4700G,"2,597"
GeForce GTX 950M,"2,593"
Radeon Ryzen 7 PRO 7730U,"2,585"
Ryzen 5 5600G with Radeon Graphics,"2,575"
Radeon Ryzen 9 4900H,"2,571"
GeForce GTX 950A,"2,568"
Ryzen 7 PRO 4750GE with Radeon Graphics,"2,550"
Ryzen 7 PRO 5750GE with Radeon Graphics,"2,547"
GRID K240Q,"2,541"
GeForce GTX 650 Ti,"2,535"
Radeon HD 6850 X2,"2,534"
Ryzen 9 5980HS with Radeon Graphics,"2,534"
GeForce GTX 850M,"2,532"
FireStream 9370,"2,528"
N18E-Q1,"2,525"
Ryzen 5 PRO 5650G with Radeon Graphics,"2,501"
Ryzen 7 4700GE with Radeon Graphics,"2,496"
Radeon Ryzen 5 5600GE,"2,490"
Radeon Pro WX 3100,"2,489"
GeForce GT 1030,"2,487"
GeForce MX330,"2,470"
Barco MXRT 5600,"2,466"
Radeon Eng Sample: 100-000000146-40_42/35_Y,"2,464"
Ryzen 5 PRO 5650GE with Radeon Graphics,"2,459"
Radeon Ryzen 7 7730U,"2,455"
Radeon Ryzen 7 7700X 8-Core,"2,447"
GeForce MX250,"2,443"
